timestamp,open,high,low,close,volume,symbol,launch_date,hours_from_launch
2025-04-05 13:00:00,0.0728,0.0728,0.06156,0.06358,39389459,BABYUSDT,2025-04-05 18:30:00,0
2025-04-05 14:00:00,0.06367,0.0676,0.06158,0.06412,48593906,BABYUSDT,2025-04-05 18:30:00,1
2025-04-05 15:00:00,0.06404,0.06618,0.0601,0.06053,35147610,BABYUSDT,2025-04-05 18:30:00,2
2025-04-05 16:00:00,0.0605,0.062,0.05707,0.05985,47969142,BABYUSDT,2025-04-05 18:30:00,3
2025-04-05 17:00:00,0.05985,0.06122,0.05827,0.05897,16259408,BABYUSDT,2025-04-05 18:30:00,4
2025-04-05 18:00:00,0.05897,0.0682,0.05602,0.06208,49697923,BABYUSDT,2025-04-05 18:30:00,5
2025-04-05 19:00:00,0.06204,0.06505,0.05898,0.06194,21557680,BABYUSDT,2025-04-05 18:30:00,6
2025-04-05 20:00:00,0.06197,0.06326,0.06123,0.062,8692929,BABYUSDT,2025-04-05 18:30:00,7
2025-04-05 21:00:00,0.062,0.065,0.0616,0.06263,9444977,BABYUSDT,2025-04-05 18:30:00,8
2025-04-05 22:00:00,0.06263,0.06372,0.06,0.06246,8716696,BABYUSDT,2025-04-05 18:30:00,9
2025-04-05 23:00:00,0.06242,0.06478,0.06238,0.06362,7753518,BABYUSDT,2025-04-05 18:30:00,10
2025-04-06 00:00:00,0.0637,0.0654,0.06216,0.06469,10486960,BABYUSDT,2025-04-05 18:30:00,11
2025-04-06 01:00:00,0.06469,0.066,0.06367,0.06478,8275061,BABYUSDT,2025-04-05 18:30:00,12
2025-04-06 02:00:00,0.06475,0.06667,0.06388,0.06484,8161245,BABYUSDT,2025-04-05 18:30:00,13
2025-04-06 03:00:00,0.06484,0.06552,0.06227,0.06292,10607542,BABYUSDT,2025-04-05 18:30:00,14
2025-04-06 04:00:00,0.06295,0.06524,0.06287,0.06483,6256601,BABYUSDT,2025-04-05 18:30:00,15
2025-04-06 05:00:00,0.06483,0.06531,0.06317,0.06338,5098309,BABYUSDT,2025-04-05 18:30:00,16
2025-04-06 06:00:00,0.06338,0.06497,0.0631,0.06418,3592480,BABYUSDT,2025-04-05 18:30:00,17
2025-04-06 07:00:00,0.06413,0.06438,0.06252,0.06333,5283303,BABYUSDT,2025-04-05 18:30:00,18
2025-04-06 08:00:00,0.06327,0.064,0.06124,0.0619,8939523,BABYUSDT,2025-04-05 18:30:00,19
2025-04-06 09:00:00,0.0619,0.06437,0.06173,0.06399,6090148,BABYUSDT,2025-04-05 18:30:00,20
2025-04-06 10:00:00,0.06403,0.06493,0.06292,0.06418,5609581,BABYUSDT,2025-04-05 18:30:00,21
2025-04-06 11:00:00,0.06417,0.06443,0.0626,0.06348,3809081,BABYUSDT,2025-04-05 18:30:00,22
2025-04-06 12:00:00,0.06349,0.06487,0.06328,0.06395,5177279,BABYUSDT,2025-04-05 18:30:00,23
