timestamp,open,high,low,close,volume,symbol,launch_date,hours_from_launch
2025-02-06 15:00:00,11.828,11.828,8.318,8.427,34342996.6,BERAUSDT,2025-02-06 20:30:00,0
2025-02-06 16:00:00,8.426,9.368,7.941,8.564,37618353.7,BERAUSDT,2025-02-06 20:30:00,1
2025-02-06 17:00:00,8.563,9.086,8.269,8.859,18748228.2,BERAUSDT,2025-02-06 20:30:00,2
2025-02-06 18:00:00,8.859,8.888,7.313,7.486,30798183.4,BERAUSDT,2025-02-06 20:30:00,3
2025-02-06 19:00:00,7.486,7.894,7.424,7.762,16573614.9,BERAUSDT,2025-02-06 20:30:00,4
2025-02-06 20:00:00,7.765,7.798,6.576,7.0,31872387.3,BERAUSDT,2025-02-06 20:30:00,5
2025-02-06 21:00:00,6.999,7.717,6.871,7.303,23722991.2,BERAUSDT,2025-02-06 20:30:00,6
2025-02-06 22:00:00,7.302,8.45,7.266,7.922,18822731.2,BERAUSDT,2025-02-06 20:30:00,7
2025-02-06 23:00:00,7.924,8.79,7.76,8.588,13209745.8,BERAUSDT,2025-02-06 20:30:00,8
2025-02-07 00:00:00,8.589,9.0,7.631,7.716,21241410.3,BERAUSDT,2025-02-06 20:30:00,9
2025-02-07 01:00:00,7.719,8.228,7.451,8.038,11473641.2,BERAUSDT,2025-02-06 20:30:00,10
2025-02-07 02:00:00,8.038,8.131,7.673,7.788,7223074.9,BERAUSDT,2025-02-06 20:30:00,11
2025-02-07 03:00:00,7.788,8.215,7.738,8.185,6506773.4,BERAUSDT,2025-02-06 20:30:00,12
2025-02-07 04:00:00,8.184,8.199,7.63,7.662,7747941.9,BERAUSDT,2025-02-06 20:30:00,13
2025-02-07 05:00:00,7.664,7.84,7.34,7.705,10811547.4,BERAUSDT,2025-02-06 20:30:00,14
2025-02-07 06:00:00,7.705,7.737,7.36,7.457,8402663.4,BERAUSDT,2025-02-06 20:30:00,15
2025-02-07 07:00:00,7.456,7.699,7.445,7.54,7350119.1,BERAUSDT,2025-02-06 20:30:00,16
2025-02-07 08:00:00,7.54,7.543,7.186,7.296,9934403.3,BERAUSDT,2025-02-06 20:30:00,17
2025-02-07 09:00:00,7.297,7.746,7.269,7.631,9442955.3,BERAUSDT,2025-02-06 20:30:00,18
2025-02-07 10:00:00,7.631,7.848,7.513,7.608,8027672.5,BERAUSDT,2025-02-06 20:30:00,19
2025-02-07 11:00:00,7.607,7.687,7.433,7.569,6139419.6,BERAUSDT,2025-02-06 20:30:00,20
2025-02-07 12:00:00,7.569,7.599,7.339,7.509,6822349.5,BERAUSDT,2025-02-06 20:30:00,21
2025-02-07 13:00:00,7.51,8.19,7.391,7.999,19457950.4,BERAUSDT,2025-02-06 20:30:00,22
2025-02-07 14:00:00,7.999,8.073,7.6,7.837,13190573.4,BERAUSDT,2025-02-06 20:30:00,23
