timestamp,open,high,low,close,volume,symbol,launch_date,hours_from_launch
2025-01-20 09:00:00,11.0,11.481,9.57,10.662,11384199.07,MELANIAUSDT,2025-01-20 14:30:00,0
2025-01-20 10:00:00,10.661,11.694,10.5,10.848,12075271.07,MELANIAUSDT,2025-01-20 14:30:00,1
2025-01-20 11:00:00,10.848,11.084,9.381,9.593,12843489.69,MELANIAUSDT,2025-01-20 14:30:00,2
2025-01-20 12:00:00,9.592,10.11,7.889,8.561,21465129.93,MELANIAUSDT,2025-01-20 14:30:00,3
2025-01-20 13:00:00,8.565,8.785,7.41,7.9,19772796.14,MELANIAUSDT,2025-01-20 14:30:00,4
2025-01-20 14:00:00,7.9,9.362,7.9,9.233,17759999.8,MELANIAUSDT,2025-01-20 14:30:00,5
2025-01-20 15:00:00,9.233,9.279,7.444,7.696,22842738.76,MELANIAUSDT,2025-01-20 14:30:00,6
2025-01-20 16:00:00,7.7,8.191,7.388,8.042,18755577.5,MELANIAUSDT,2025-01-20 14:30:00,7
2025-01-20 17:00:00,8.041,8.1,4.403,5.496,55995557.3,MELANIAUSDT,2025-01-20 14:30:00,8
2025-01-20 18:00:00,5.496,6.244,5.118,5.949,25813826.99,MELANIAUSDT,2025-01-20 14:30:00,9
2025-01-20 19:00:00,5.95,5.955,5.018,5.53,22798977.12,MELANIAUSDT,2025-01-20 14:30:00,10
2025-01-20 20:00:00,5.529,5.679,5.215,5.312,13087101.62,MELANIAUSDT,2025-01-20 14:30:00,11
2025-01-20 21:00:00,5.313,5.481,3.948,3.994,31048699.0,MELANIAUSDT,2025-01-20 14:30:00,12
2025-01-20 22:00:00,3.991,4.618,3.635,4.579,30909344.81,MELANIAUSDT,2025-01-20 14:30:00,13
2025-01-20 23:00:00,4.582,4.597,3.681,3.774,23831079.7,MELANIAUSDT,2025-01-20 14:30:00,14
2025-01-21 00:00:00,3.774,4.088,3.281,3.37,27436417.99,MELANIAUSDT,2025-01-20 14:30:00,15
2025-01-21 01:00:00,3.369,3.695,3.34,3.55,23039843.16,MELANIAUSDT,2025-01-20 14:30:00,16
2025-01-21 02:00:00,3.55,4.369,3.535,4.257,28132048.39,MELANIAUSDT,2025-01-20 14:30:00,17
2025-01-21 03:00:00,4.257,4.5,3.963,4.012,15187115.65,MELANIAUSDT,2025-01-20 14:30:00,18
2025-01-21 04:00:00,4.012,4.05,3.487,3.745,18377837.02,MELANIAUSDT,2025-01-20 14:30:00,19
2025-01-21 05:00:00,3.747,4.194,3.556,3.953,15152221.76,MELANIAUSDT,2025-01-20 14:30:00,20
2025-01-21 06:00:00,3.952,4.265,3.856,4.21,12440372.39,MELANIAUSDT,2025-01-20 14:30:00,21
2025-01-21 07:00:00,4.208,4.475,4.005,4.431,10190030.13,MELANIAUSDT,2025-01-20 14:30:00,22
2025-01-21 08:00:00,4.43,5.134,4.26,5.014,26054065.03,MELANIAUSDT,2025-01-20 14:30:00,23
