timestamp,open,high,low,close,volume,symbol,launch_date,hours_from_launch
2025-07-29 10:00:00,0.1668,0.2538,0.1326,0.1519,383513668,ESPORTSUSDT,2025-07-29 15:30:00,0
2025-07-29 11:00:00,0.1517,0.1568,0.1338,0.1355,180965815,ESPORTSUSDT,2025-07-29 15:30:00,1
2025-07-29 12:00:00,0.1355,0.1528,0.1347,0.1496,75472572,ESPORTSUSDT,2025-07-29 15:30:00,2
2025-07-29 13:00:00,0.1496,0.1624,0.1439,0.145,62432219,ESPORTSUSDT,2025-07-29 15:30:00,3
2025-07-29 14:00:00,0.145,0.1456,0.114,0.1221,116803871,ESPORTSUSDT,2025-07-29 15:30:00,4
2025-07-29 15:00:00,0.1221,0.1299,0.1144,0.1241,75922042,ESPORTSUSDT,2025-07-29 15:30:00,5
2025-07-29 16:00:00,0.1241,0.1372,0.12,0.1267,54759902,ESPORTSUSDT,2025-07-29 15:30:00,6
2025-07-29 17:00:00,0.1266,0.1274,0.1187,0.1222,33219354,ESPORTSUSDT,2025-07-29 15:30:00,7
2025-07-29 18:00:00,0.1222,0.1281,0.12,0.1229,25665603,ESPORTSUSDT,2025-07-29 15:30:00,8
2025-07-29 19:00:00,0.123,0.1275,0.1116,0.1236,49515825,ESPORTSUSDT,2025-07-29 15:30:00,9
2025-07-29 20:00:00,0.1236,0.1288,0.1161,0.1183,29286310,ESPORTSUSDT,2025-07-29 15:30:00,10
2025-07-29 21:00:00,0.1184,0.1262,0.1157,0.124,19153669,ESPORTSUSDT,2025-07-29 15:30:00,11
2025-07-29 22:00:00,0.124,0.1308,0.118,0.1262,18810494,ESPORTSUSDT,2025-07-29 15:30:00,12
2025-07-29 23:00:00,0.1263,0.1294,0.1226,0.1262,16079412,ESPORTSUSDT,2025-07-29 15:30:00,13
2025-07-30 00:00:00,0.1262,0.1335,0.12,0.1271,22729733,ESPORTSUSDT,2025-07-29 15:30:00,14
2025-07-30 01:00:00,0.127,0.1284,0.1233,0.1253,10274313,ESPORTSUSDT,2025-07-29 15:30:00,15
2025-07-30 02:00:00,0.1254,0.1259,0.1216,0.1239,8335121,ESPORTSUSDT,2025-07-29 15:30:00,16
2025-07-30 03:00:00,0.1239,0.1259,0.1212,0.1232,9258247,ESPORTSUSDT,2025-07-29 15:30:00,17
2025-07-30 04:00:00,0.1233,0.1244,0.12,0.121,12800563,ESPORTSUSDT,2025-07-29 15:30:00,18
2025-07-30 05:00:00,0.1211,0.1221,0.1119,0.1198,27139248,ESPORTSUSDT,2025-07-29 15:30:00,19
2025-07-30 06:00:00,0.1197,0.1239,0.1182,0.1205,16901878,ESPORTSUSDT,2025-07-29 15:30:00,20
2025-07-30 07:00:00,0.1204,0.1222,0.1135,0.1145,16702673,ESPORTSUSDT,2025-07-29 15:30:00,21
2025-07-30 08:00:00,0.1145,0.1187,0.1142,0.1161,13652116,ESPORTSUSDT,2025-07-29 15:30:00,22
2025-07-30 09:00:00,0.1161,0.1174,0.1124,0.1165,16912545,ESPORTSUSDT,2025-07-29 15:30:00,23
