timestamp,open,high,low,close,volume,symbol,launch_date,hours_from_launch
2025-05-06 09:00:00,1.137,1.2319,1.137,1.1695,2005468.4,ALPINEUSDT,2025-05-06 14:30:00,0
2025-05-06 10:00:00,1.1692,1.1933,1.0446,1.09,9099214.0,ALPINEUSDT,2025-05-06 14:30:00,1
2025-05-06 11:00:00,1.0888,1.1276,1.0482,1.1037,6777073.4,ALPINEUSDT,2025-05-06 14:30:00,2
2025-05-06 12:00:00,1.1037,1.257,1.0862,1.1835,14314422.6,ALPINEUSDT,2025-05-06 14:30:00,3
2025-05-06 13:00:00,1.1834,1.1999,1.1333,1.1503,9685841.7,ALPINEUSDT,2025-05-06 14:30:00,4
2025-05-06 14:00:00,1.1503,1.155,1.1005,1.1093,6139797.8,ALPINEUSDT,2025-05-06 14:30:00,5
2025-05-06 15:00:00,1.1092,1.1244,1.0674,1.0863,5735796.3,ALPINEUSDT,2025-05-06 14:30:00,6
2025-05-06 16:00:00,1.086,1.1664,1.0651,1.0972,7444416.2,ALPINEUSDT,2025-05-06 14:30:00,7
2025-05-06 17:00:00,1.0972,1.13,1.0827,1.1105,2586822.5,ALPINEUSDT,2025-05-06 14:30:00,8
2025-05-06 18:00:00,1.1096,1.13,1.0849,1.1075,2495138.7,ALPINEUSDT,2025-05-06 14:30:00,9
2025-05-06 19:00:00,1.1081,1.125,1.1018,1.125,1704026.5,ALPINEUSDT,2025-05-06 14:30:00,10
2025-05-06 20:00:00,1.1248,1.1594,1.102,1.1145,2998776.4,ALPINEUSDT,2025-05-06 14:30:00,11
2025-05-06 21:00:00,1.1146,1.1256,1.0711,1.0816,2343491.2,ALPINEUSDT,2025-05-06 14:30:00,12
2025-05-06 22:00:00,1.0816,1.15,1.0802,1.1122,2403310.6,ALPINEUSDT,2025-05-06 14:30:00,13
2025-05-06 23:00:00,1.1126,1.1346,1.1101,1.1172,1355079.7,ALPINEUSDT,2025-05-06 14:30:00,14
2025-05-07 00:00:00,1.1176,1.15,1.0961,1.1152,1812297.9,ALPINEUSDT,2025-05-06 14:30:00,15
2025-05-07 01:00:00,1.1154,1.1464,1.1026,1.1272,1211153.4,ALPINEUSDT,2025-05-06 14:30:00,16
2025-05-07 02:00:00,1.1257,1.1585,0.9527,0.9882,4922860.7,ALPINEUSDT,2025-05-06 14:30:00,17
2025-05-07 03:00:00,0.9882,1.002,0.9429,0.9585,3598917.7,ALPINEUSDT,2025-05-06 14:30:00,18
2025-05-07 04:00:00,0.9588,0.9699,0.9317,0.9618,2981547.4,ALPINEUSDT,2025-05-06 14:30:00,19
2025-05-07 05:00:00,0.9616,0.9859,0.9507,0.9704,2754365.0,ALPINEUSDT,2025-05-06 14:30:00,20
2025-05-07 06:00:00,0.9704,0.9947,0.9605,0.9855,1802809.9,ALPINEUSDT,2025-05-06 14:30:00,21
2025-05-07 07:00:00,0.9855,1.0429,0.9737,0.9936,3480330.6,ALPINEUSDT,2025-05-06 14:30:00,22
2025-05-07 08:00:00,0.9936,1.002,0.964,0.976,2692624.4,ALPINEUSDT,2025-05-06 14:30:00,23
