symbol,launch_date,first_price,last_price_24h,performance_24h,max_gain_24h,max_loss_24h,high_24h,low_24h,total_volume_24h,candles_count
SHELLUSDT,2025-02-17 22:30:00,0.441,0.4866,10.340136054421762,15.600907029478464,-16.281179138322003,0.5098,0.3692,390745242.0,24
SKYAIUSDT,2025-05-13 14:30:00,0.05826,0.08239,41.41778235496053,67.61071060762102,-1.3044970820459951,0.09765,0.0575,2684052130.0,24
UBUSDT,2025-09-12 15:30:00,0.017448,0.037962,117.57221458046767,120.6556625401192,-9.1242549289317,0.0385,0.015856,22899223118.0,24
CARVUSDT,2025-08-07 21:30:00,0.3058,0.297,-2.8776978417266283,8.14257684761281,-6.736429038587315,0.3307,0.2852,88235742.0,24
BERAUSDT,2025-02-06 20:30:00,11.828,7.837,-33.741968211024684,0.0,-44.4031112614136,11.828,6.576,379481727.9,24
PARTIUSDT,2025-03-25 18:30:00,0.4,0.3885,-2.8750000000000027,9.950000000000001,-50.7,0.4398,0.1972,4053111587.0,24
SQDUSDT,2025-06-11 17:30:00,0.22751,0.26012,14.333435892927795,29.005318447540766,0.0,0.2935,0.22751,413937877.0,24
BASUSDT,2025-08-26 18:30:00,0.0142,0.016372,15.295774647887326,33.11267605633801,-13.690140845070431,0.018902,0.012256,17490799550.0,24
AINUSDT,2025-07-10 15:30:00,0.0921,0.15147,64.46254071661237,135.33116178067317,-4.766558089033665,0.21674,0.08771,2221718235.0,24
PENGUUSDC,2025-07-23 12:30:00,0.044859,0.038528,-14.11310996678482,6.569473238369107,-15.637887603379477,0.047806,0.037844,289816357.0,24
DOODUSDT,2025-05-09 18:30:00,0.0085694,0.007863,-8.243284243937724,8.256120615212264,-22.923425210633184,0.0092769,0.006605,21721919808.0,24
SOMIUSDT,2025-08-25 14:30:00,0.9,1.485,65.0,88.55555555555556,-16.888888888888893,1.697,0.748,58149558.0,24
ADAUSDC,2025-03-06 15:30:00,0.9663,0.8761,-9.33457518369037,0.18627755355478762,-15.605919486701856,0.9681,0.8155,6398730.899999999,24
BROCCOLIF3BUSDT,2025-03-21 14:30:00,0.016777,0.017907,6.735411575371038,52.27394647433987,-12.505215473565004,0.025547,0.014679,12517474008.0,24
XNYUSDT,2025-08-13 16:30:00,0.014178,0.01378,-2.8071660318803713,36.16871208915221,-8.477923543518125,0.019306,0.012976,13075112659.0,24
PUMPUSDT,2025-07-10 12:30:00,0.00595,0.005165,-13.19327731092437,0.0,-20.941176470588243,0.00595,0.004704,42000892526.0,24
PIPPINUSDT,2025-01-24 15:30:00,0.138,0.12154,-11.92753623188407,19.13043478260868,-25.920289855072472,0.1644,0.10223,1075535817.0,24
FORMUSDT,2025-03-19 13:30:00,2.0,1.6853,-15.735,1.750000000000007,-32.099999999999994,2.035,1.358,142557412.9,24
ANIMEUSDT,2025-01-23 22:30:00,0.087,0.0623,-28.39080459770114,8.965517241379313,-28.735632183908045,0.0948,0.062,9327832840.0,24
1000000BOBUSDT,2025-06-05 13:30:00,0.11042,0.10041,-9.065386705307015,6.1945299764535395,-19.32620902010505,0.11726,0.08908,1348614932.0,24
TOSHIUSDT,2025-09-17 10:30:00,0.000774,0.0008559,10.581395348837223,47.08010335917312,-0.5167958656330734,0.0011384,0.00077,257814449367.0,5
DOLOUSDT,2025-05-01 08:30:00,0.048,0.057444,19.675,37.08333333333332,0.0,0.0658,0.048,2210341610.0,24
AGTUSDT,2025-05-20 15:30:00,0.029571,0.030945,4.646444151364514,14.132088870853208,-1.7652429745358682,0.03375,0.029049,3826131781.0,24
FISUSDT,2025-04-25 12:30:00,0.19,0.20738,9.147368421052635,20.46315789473684,0.0,0.22888,0.19,263484908.0,24
ALCHUSDT,2025-01-07 16:30:00,0.19469,0.17854,-8.29523858441625,18.136524731624636,-13.12342698649134,0.23,0.16914,1342834313.0,24
SKYUSDT,2025-09-09 12:30:00,0.07254,0.07229,-0.3446374414116353,10.697546181417154,-13.771712158808933,0.0803,0.06255,1231506559.0,24
SIGNUSDT,2025-04-28 16:30:00,0.0748,0.1049,40.24064171122993,77.68716577540106,-11.09625668449198,0.13291,0.0665,15502494349.0,24
MUSDT,2025-07-07 14:30:00,0.166,0.1935,16.566265060240962,28.97590361445783,-13.855421686746999,0.2141,0.143,1935208457.0,24
CVXUSDT,2025-07-23 16:30:00,5.104,4.799,-5.975705329153599,0.0,-13.77351097178684,5.104,4.401,9113796.8,24
XPLUSDT,2025-08-22 14:30:00,0.42,0.5441,29.54761904761906,42.35714285714286,-8.97619047619048,0.5979,0.3823,1197668721.0,24
WLFIUSDT,2025-08-23 13:30:00,0.201,0.2473,23.034825870646756,173.98009950248755,0.0,0.5507,0.201,4085429823.0,24
KMNOUSDT,2024-12-21 00:30:00,0.1695,0.17242,1.7227138643067716,21.63421828908553,0.0,0.20617,0.1695,107993487.0,24
XCNUSDT,2025-04-11 20:30:00,0.02339,0.01977,-15.476699444206933,14.920906370243694,-24.155622060709714,0.02688,0.01774,5891367898.0,24
UNIUSDC,2025-06-16 13:30:00,7.581,7.638,0.7518796992481136,5.249967022820204,-3.231763619575255,7.979,7.336,1497319.0,24
NILUSDT,2025-03-24 18:30:00,0.772,0.7259,-5.971502590673579,27.7461139896373,-14.054404145077726,0.9862,0.6635,1774464152.3999999,24
BIDUSDT,2025-03-20 14:30:00,0.13298,0.07054,-46.95442923747931,0.0,-48.94721010678297,0.13298,0.06789,1092154498.0,24
PHAUSDT,2024-12-30 16:30:00,0.44936,0.36916,-17.847605483354105,6.317874310129969,-19.65016912942852,0.47775,0.36106,299729104.0,24
VTHOUSDT,2025-01-22 14:30:00,0.00822,0.007038,-14.379562043795618,5.377128953771286,-23.917274939172746,0.008662,0.006254,75822984968.0,24
SUSDT,2025-01-16 15:30:00,0.8,0.8091,1.1374999999999997,2.7499999999999885,-4.887500000000003,0.822,0.7609,104267761.0,24
SWARMSUSDT,2025-01-07 17:30:00,0.4926,0.3133,-36.39870077141696,2.9638652050345113,-36.743808363784005,0.5072,0.3116,594680610.0,24
MLNUSDT,2025-03-31 13:30:00,12.31,12.71,3.2493907392363957,26.80747359870023,-5.442729488220958,15.61,11.64,16134227.76,24
AIOTUSDT,2025-04-30 17:30:00,0.18151,0.25907,42.73042807558813,61.52829045231668,0.0,0.29319,0.18151,1760660619.0,24
NXPCUSDT,2025-05-15 11:30:00,2.184,2.65979,21.785256410256405,66.66666666666666,-2.3864468864468837,3.64,2.13188,1210497485.0,24
EPICUSDT,2025-03-13 13:30:00,1.6773,1.501,-10.510940201514346,10.439396649376977,-14.421987718356883,1.8524,1.4354,146429078.6,24
DFUSDT,2024-12-30 16:30:00,0.09669,0.08863,-8.335918916123692,11.697176543592928,-16.52704519598717,0.108,0.08071,711580608.0,24
A2ZUSDT,2025-07-30 13:30:00,0.006003,0.005273,-12.160586373479923,2.5487256371814158,-24.83758120939529,0.006156,0.004512,59758027965.0,24
INITUSDT,2025-04-16 11:30:00,0.728,0.7285,0.06868131868132638,7.747252747252749,-19.684065934065934,0.7844,0.5847,15074832.0,24
SXTUSDT,2025-05-02 13:30:00,0.5355,0.34475,-35.62091503267973,44.388422035480865,-43.805788982259564,0.7732,0.30092,152981367.0,24
ZORAUSDT,2025-07-25 16:30:00,0.04415,0.0553,25.254813137032844,32.72933182332955,-12.389580973952441,0.0586,0.03868,4408388627.0,24
ALLUSDT,2025-08-06 14:30:00,1.224,1.055,-13.807189542483664,0.0,-19.0359477124183,1.224,0.991,38085597.0,24
TRUMPUSDC,2025-03-06 15:30:00,13.5,13.088,-3.051851851851858,2.192592592592588,-9.296296296296303,13.796,12.245,266014.70999999996,24
CTKUSDT,2025-04-30 15:30:00,0.5149,0.4285,-16.779957273256947,4.428044280442791,-20.372887939405718,0.5377,0.41,120020010.0,24
BIOUSDC,2025-08-25 12:30:00,0.24499,0.19658,-19.759990203681784,0.5306339034246278,-22.494795705947187,0.24629,0.18988,70156994.0,24
BIOUSDT,2025-01-03 17:30:00,0.7263,0.7539,3.8000826104915424,25.209968332644923,-2.065262288310602,0.9094,0.7113,1222922503.0,24
LAYERUSDT,2025-02-11 20:30:00,0.7921,1.0025,26.562302739553072,76.74536043428859,-14.366872869587175,1.4,0.6783,3799151284.7999997,24
VINEUSDT,2025-01-24 15:30:00,0.20194,0.25,23.799148261859955,115.70763593146478,-47.3110824997524,0.4356,0.1064,7965062132.0,24
GRIFFAINUSDT,2025-01-02 18:30:00,0.40692,0.40317,-0.9215570628133372,8.500442347390152,-10.75395655165635,0.44151,0.36316,209909746.0,24
LINEAUSDT,2025-09-01 13:30:00,0.08,0.04155,-48.06250000000001,0.0,-51.4,0.08,0.03888,5339880468.0,24
AI16ZUSDT,2025-01-02 18:30:00,2.0762,2.0409,-1.700221558616698,19.848762161641467,-8.51555726808593,2.4883,1.8994,165715998.9,24
IPUSDC,2025-03-05 15:30:00,5.6,5.34157,-4.614821428571424,6.377321428571441,-9.228214285714282,5.95713,5.08322,585275.7,24
SKATEUSDT,2025-06-09 15:30:00,0.0756,0.05554,-26.53439153439154,3.7037037037036993,-31.01851851851852,0.0784,0.05215,2823987840.0,24
HOMEUSDT,2025-06-10 16:30:00,0.025,0.031724,26.896000000000004,40.55999999999999,-26.548,0.03514,0.018363,19505771337.0,24
