timestamp,open,high,low,close,volume,symbol,launch_date,hours_from_launch
2025-05-28 08:00:00,0.74775,0.794,0.71893,0.75942,20073173,AUSDT,2025-05-28 13:30:00,0
2025-05-28 09:00:00,0.75942,0.77999,0.74522,0.76984,13388112,AUSDT,2025-05-28 13:30:00,1
2025-05-28 10:00:00,0.77008,0.77719,0.7519,0.7548,10037913,AUSDT,2025-05-28 13:30:00,2
2025-05-28 11:00:00,0.75487,0.7622,0.75003,0.75721,6461693,AUSDT,2025-05-28 13:30:00,3
2025-05-28 12:00:00,0.75727,0.77,0.7508,0.75537,7822590,AUSDT,2025-05-28 13:30:00,4
2025-05-28 13:00:00,0.75545,0.76861,0.747,0.75108,7552441,AUSDT,2025-05-28 13:30:00,5
2025-05-28 14:00:00,0.75108,0.76246,0.72653,0.74927,8984561,AUSDT,2025-05-28 13:30:00,6
2025-05-28 15:00:00,0.74936,0.75747,0.7441,0.753,4224394,AUSDT,2025-05-28 13:30:00,7
2025-05-28 16:00:00,0.75276,0.76889,0.74813,0.76664,5241998,AUSDT,2025-05-28 13:30:00,8
2025-05-28 17:00:00,0.76658,0.76877,0.75349,0.76242,3929581,AUSDT,2025-05-28 13:30:00,9
2025-05-28 18:00:00,0.76255,0.76584,0.74584,0.74862,2538838,AUSDT,2025-05-28 13:30:00,10
2025-05-28 19:00:00,0.74847,0.75586,0.73333,0.73876,3295684,AUSDT,2025-05-28 13:30:00,11
2025-05-28 20:00:00,0.73888,0.74335,0.72559,0.73051,3636460,AUSDT,2025-05-28 13:30:00,12
2025-05-28 21:00:00,0.73033,0.74373,0.72174,0.73774,3291401,AUSDT,2025-05-28 13:30:00,13
2025-05-28 22:00:00,0.73788,0.75308,0.73015,0.74616,2289108,AUSDT,2025-05-28 13:30:00,14
2025-05-28 23:00:00,0.74635,0.75961,0.74088,0.75848,2227593,AUSDT,2025-05-28 13:30:00,15
2025-05-29 00:00:00,0.75853,0.7693,0.75189,0.75471,3527771,AUSDT,2025-05-28 13:30:00,16
2025-05-29 01:00:00,0.75468,0.75856,0.74801,0.75118,1667856,AUSDT,2025-05-28 13:30:00,17
2025-05-29 02:00:00,0.75111,0.76,0.74933,0.75741,1888641,AUSDT,2025-05-28 13:30:00,18
2025-05-29 03:00:00,0.75739,0.7593,0.74337,0.74437,1845436,AUSDT,2025-05-28 13:30:00,19
2025-05-29 04:00:00,0.7442,0.74703,0.73304,0.73803,2480089,AUSDT,2025-05-28 13:30:00,20
2025-05-29 05:00:00,0.73803,0.74772,0.73456,0.74264,2438434,AUSDT,2025-05-28 13:30:00,21
2025-05-29 06:00:00,0.74263,0.74263,0.7313,0.73366,1424865,AUSDT,2025-05-28 13:30:00,22
2025-05-29 07:00:00,0.73366,0.74463,0.733,0.74001,2031208,AUSDT,2025-05-28 13:30:00,23
