tp_pct,sl_pct,total_profit_usd,total_return_pct,total_trades,target_hits,stop_losses,timeouts,win_rate,avg_profit_per_trade,final_capital
20,15,11829.994321044805,591.4997160522403,99,32,24,43,32.323232323232325,119.49489213176571,13829.994321044805
60,15,8408.661517303706,420.4330758651853,99,8,26,65,8.080808080808081,84.93597492225966,10408.661517303706
80,15,7692.84374083944,384.642187041972,99,3,26,70,3.0303030303030303,77.70549233171151,9692.84374083944
20,10,5751.583049048952,287.5791524524476,99,28,38,33,28.28282828282828,58.09679847524193,7751.583049048952
15,15,5007.87808913863,250.3939044569315,99,36,23,40,36.36363636363637,50.58462716301646,7007.87808913863
60,5,4675.654677783709,233.78273388918544,99,7,54,38,7.07070707070707,47.22883512912838,6675.654677783709
20,5,4578.219204517055,228.91096022585273,99,21,48,30,21.21212121212121,46.244638429465205,6578.219204517055
20,7,3956.738226442136,197.8369113221068,99,24,47,28,24.242424242424242,39.96705279234481,5956.738226442136
60,10,3634.8876682314585,181.74438341157293,99,8,43,48,8.080808080808081,36.716037052843014,5634.8876682314585
80,5,3525.8318641208834,176.29159320604418,99,2,54,43,2.0202020202020203,35.61446327394832,5525.831864120883
80,10,3247.3687970880464,162.3684398544023,99,3,43,53,3.0303030303030303,32.80170502109138,5247.368797088046
45,15,2877.7982592464477,143.8899129623224,99,9,26,64,9.090909090909092,29.068669285317654,4877.798259246448
15,10,2398.09878493037,119.90493924651851,99,32,37,30,32.323232323232325,24.223220049801718,4398.09878493037
60,7,2097.0402648658437,104.85201324329219,99,7,53,39,7.07070707070707,21.182224897634786,4097.040264865844
15,5,1547.3612074046887,77.36806037023443,99,23,48,28,23.232323232323232,15.629911185905947,3547.3612074046887
15,7,1495.990638129967,74.79953190649834,99,27,46,26,27.27272727272727,15.111016546767344,3495.990638129967
80,7,1391.3611079262982,69.5680553963149,99,2,53,44,2.0202020202020203,14.054152605316144,3391.3611079262982
45,5,1351.4288217226922,67.57144108613461,99,7,54,38,7.07070707070707,13.650796179017092,3351.428821722692
20,2,900.1175356996741,45.005876784983705,99,11,41,47,11.11111111111111,9.09209632019873,2900.117535699674
10,10,860.3463122268499,43.0173156113425,99,35,33,31,35.35353535353536,8.690366790170202,2860.34631222685
45,10,563.7130815730025,28.185654078650124,99,8,43,48,8.080808080808081,5.694071531040429,2563.7130815730025
30,15,551.2947143893143,27.564735719465716,99,14,26,59,14.14141414141414,5.568633478679943,2551.2947143893143
10,15,394.64452617524694,19.732226308762346,99,39,22,38,39.39393939393939,3.9863083452045145,2394.644526175247
15,2,358.38896500923283,17.91944825046164,99,12,40,47,12.121212121212121,3.6200905556488165,2358.388965009233
10,5,172.2782639551274,8.61391319775637,99,23,44,32,23.232323232323232,1.740184484395226,2172.2782639551274
45,7,56.86775158183673,2.843387579091836,99,7,53,39,7.07070707070707,0.5744217331498659,2056.8677515818367
10,7,36.52516052199485,1.8262580260997425,99,28,42,29,28.28282828282828,0.36894101537368534,2036.5251605219948
30,5,-350.13434179629485,-17.506717089814742,99,9,54,36,9.090909090909092,-3.5367105231948974,1649.8656582037052
10,2,-411.4129621462391,-20.570648107311957,99,11,39,49,11.11111111111111,-4.1556864863256475,1588.5870378537609
60,2,-518.1632278938307,-25.908161394691536,99,2,46,51,2.0202020202020203,-5.233971998927583,1481.8367721061693
80,2,-702.2122652901983,-35.110613264509915,99,0,46,53,0.0,-7.093053184749477,1297.7877347098017
30,10,-742.6620771329003,-37.133103856645015,99,12,43,44,12.121212121212121,-7.501637142756569,1257.3379228670997
45,2,-782.9836666588985,-39.14918333294493,99,2,46,51,2.0202020202020203,-7.90892592584746,1217.0163333411015
30,7,-903.2351965757082,-45.16175982878541,99,10,53,36,10.1010101010101,-9.123587844199072,1096.7648034242918
30,2,-946.8594019725672,-47.34297009862836,99,3,46,50,3.0303030303030303,-9.564236383561285,1053.1405980274328
