tp_pct,sl_pct,total_profit_usd,total_return_pct,total_trades,target_hits,stop_losses,timeouts,win_rate,avg_profit_per_trade,final_capital
20,10,3133.2279962841294,156.66139981420648,100,20,29,51,20.0,31.332279962841294,5133.227996284129
15,10,2513.650114813301,125.68250574066506,100,27,28,45,27.0,25.13650114813301,4513.650114813301
20,7,1942.6933312731367,97.13466656365684,100,18,43,39,18.0,19.426933312731368,3942.6933312731367
20,15,1860.9076945684888,93.04538472842444,100,20,15,65,20.0,18.609076945684887,3860.9076945684888
15,15,1594.5980887748883,79.72990443874441,100,27,14,59,27.0,15.945980887748883,3594.5980887748883
15,7,1496.6930798123835,74.83465399061917,100,24,41,35,24.0,14.966930798123835,3496.6930798123835
10,15,629.9707356599038,31.49853678299519,100,33,13,54,33.0,6.299707356599038,2629.9707356599038
20,5,517.3791084473337,25.868955422366685,100,13,48,39,13.0,5.173791084473337,2517.3791084473337
10,10,500.0709296682021,25.003546483410105,100,31,27,42,31.0,5.000709296682021,2500.070929668202
15,2,396.5456357629769,19.82728178814884,100,12,51,37,12.0,3.9654563576297686,2396.545635762977
10,7,227.05061199971806,11.352530599985903,100,28,39,33,28.000000000000004,2.2705061199971808,2227.050611999718
15,5,186.62656194724104,9.331328097362052,100,18,47,35,18.0,1.8662656194724105,2186.626561947241
30,10,47.838237254418345,2.3919118627209173,100,8,32,60,8.0,0.4783823725441835,2047.8382372544183
10,2,33.82931478738101,1.6914657393690504,100,14,48,38,14.000000000000002,0.3382931478738101,2033.829314787381
20,2,17.393481618736587,0.8696740809368293,100,7,53,40,7.000000000000001,0.17393481618736586,2017.3934816187366
10,5,-120.36724078148904,-6.018362039074452,100,22,43,35,22.0,-1.2036724078148904,1879.632759218511
30,7,-272.13425802979873,-13.606712901489937,100,7,46,47,7.000000000000001,-2.7213425802979874,1727.8657419702013
60,10,-457.124219679459,-22.85621098397295,100,2,33,65,2.0,-4.571242196794589,1542.875780320541
30,5,-475.5125653384903,-23.775628266924514,100,6,51,43,6.0,-4.755125653384903,1524.4874346615097
30,2,-501.0167167651025,-25.050835838255125,100,3,55,42,3.0,-5.010167167651025,1498.9832832348975
60,7,-619.9784880636532,-30.99892440318266,100,2,47,51,2.0,-6.199784880636532,1380.0215119363468
60,5,-652.8097805417597,-32.64048902708798,100,2,52,46,2.0,-6.528097805417596,1347.1902194582403
30,15,-652.9009612126542,-32.64504806063272,100,8,17,75,8.0,-6.529009612126543,1347.0990387873458
45,10,-732.8529968265875,-36.64264984132938,100,2,33,65,2.0,-7.328529968265875,1267.1470031734125
80,10,-757.939695816825,-37.896984790841245,100,0,33,67,0.0,-7.57939695816825,1242.060304183175
45,7,-866.6034262319642,-43.330171311598214,100,2,47,51,2.0,-8.666034262319643,1133.3965737680358
80,7,-889.0421634988154,-44.45210817494077,100,0,47,53,0.0,-8.890421634988154,1110.9578365011846
45,5,-893.567407651972,-44.6783703825986,100,2,52,46,2.0,-8.93567407651972,1106.432592348028
80,5,-915.4723179170867,-45.773615895854334,100,0,52,48,0.0,-9.154723179170867,1084.5276820829133
60,15,-1041.457758612949,-52.07288793064745,100,2,18,80,2.0,-10.41457758612949,958.542241387051
60,2,-1114.062763783253,-55.70313818916266,100,0,56,44,0.0,-11.14062763783253,885.9372362167468
45,2,-1114.062763783253,-55.70313818916266,100,0,56,44,0.0,-11.14062763783253,885.9372362167468
80,2,-1114.062763783253,-55.70313818916266,100,0,56,44,0.0,-11.14062763783253,885.9372362167468
45,15,-1212.7597412045802,-60.637987060229015,100,2,18,80,2.0,-12.127597412045802,787.2402587954198
80,15,-1228.345351521251,-61.41726757606254,100,0,18,82,0.0,-12.283453515212509,771.6546484787492
