symbol,launch_date,entry_time,exit_time,entry_price,target_price,stop_loss_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
PTBUSDT,2025-09-03 17:30:00,2025-09-03 12:31:00,2025-09-03 12:46:00,0.02563,0.030756,0.023067,0.023067,78033.554428,-200.0,-10.0,Stop Loss,2000.0,1800.0,15
WLFIUSDC,2025-09-08 13:30:00,2025-09-08 08:31:00,2025-09-08 12:29:00,0.2065,0.2478,0.18585,0.2144,8716.707022,68.861985,3.825666,4h Timeout,1800.0,1868.861985,238
OPENUSDT,2025-09-08 18:30:00,2025-09-08 13:01:00,2025-09-08 13:02:00,0.678,0.8136,0.6102,0.8136,2756.433607,373.772397,20.0,Target Hit,1868.861985,2242.634383,1
FLOCKUSDT,2025-09-09 11:30:00,2025-09-09 06:49:00,2025-09-09 10:28:00,0.4749,0.56988,0.42741,0.42741,4722.329717,-224.263438,-10.0,Stop Loss,2242.634383,2018.370944,219
SKYUSDT,2025-09-09 12:30:00,2025-09-09 07:01:00,2025-09-09 10:59:00,0.07199,0.086388,0.064791,0.0742,28036.823785,61.961381,3.069871,4h Timeout,2018.370944,2080.332325,238
AVNTUSDT,2025-09-09 20:30:00,2025-09-09 15:01:00,2025-09-09 15:01:00,0.2766,0.33192,0.24894,0.24894,7521.085773,-208.033232,-10.0,Stop Loss (Same Candle),2080.332325,1872.299092,0
HOLOUSDT,2025-09-11 17:30:00,2025-09-11 12:01:00,2025-09-11 12:18:00,0.5738,0.68856,0.51642,0.51642,3262.982036,-187.229909,-10.0,Stop Loss,1872.299092,1685.069183,17
XPINUSDT,2025-09-12 13:30:00,2025-09-12 08:01:00,2025-09-12 08:07:00,0.001867,0.00224,0.00168,0.00224,902747.874825,337.013837,20.0,Target Hit,1685.069183,2022.08302,6
UBUSDT,2025-09-12 15:30:00,2025-09-12 10:31:00,2025-09-12 10:45:00,0.01864,0.022368,0.016776,0.022368,108480.848701,404.416604,20.0,Target Hit,2022.08302,2426.499624,14
ZKCUSDT,2025-09-15 19:30:00,2025-09-15 14:01:00,2025-09-15 15:11:00,1.2819,1.53828,1.15371,1.15371,1892.893068,-242.649962,-10.0,Stop Loss,2426.499624,2183.849661,70
