symbol,launch_date,entry_time,exit_time,entry_price,target_price,stop_loss_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
MILKUSDT,2025-05-06 18:30:00,2025-05-06 13:46:00,2025-05-06 17:44:00,0.12477,0.149724,0.112293,0.12451,16029.494269,-4.167669,-0.208383,4h Timeout,2000.0,1995.832331,238
B2USDT,2025-05-06 18:30:00,2025-05-06 13:31:00,2025-05-06 17:29:00,0.6779,0.81348,0.61011,0.6484,2944.139743,-86.852122,-4.351674,4h Timeout,1995.832331,1908.980209,238
SYRUPUSDT,2025-05-07 13:30:00,2025-05-07 08:31:00,2025-05-07 12:23:00,0.23522,0.282264,0.211698,0.211698,8115.722341,-190.898021,-10.0,Stop Loss,1908.980209,1718.082188,232
OBOLUSDT,2025-05-07 15:30:00,2025-05-07 10:31:00,2025-05-07 10:58:00,0.41434,0.497208,0.372906,0.372906,4146.551596,-171.808219,-10.0,Stop Loss,1718.082188,1546.273969,27
DOODUSDT,2025-05-09 18:30:00,2025-05-09 13:31:00,2025-05-09 13:43:00,0.008187,0.009824,0.007368,0.007368,188871.730369,-154.627397,-10.0,Stop Loss,1546.273969,1391.646572,12
OGUSDT,2025-05-12 14:30:00,2025-05-12 09:01:00,2025-05-12 12:59:00,5.584,6.7008,5.0256,5.606,249.220375,5.482848,0.393983,4h Timeout,1391.646572,1397.129421,238
ZKJUSDT,2025-05-13 14:30:00,2025-05-13 09:31:00,2025-05-13 13:29:00,2.136,2.5632,1.9224,2.13,654.086807,-3.924521,-0.280899,4h Timeout,1397.129421,1393.2049,238
SKYAIUSDT,2025-05-13 14:30:00,2025-05-13 09:46:00,2025-05-13 13:44:00,0.05771,0.069252,0.051939,0.06204,24141.481543,104.532615,7.503032,4h Timeout,1393.2049,1497.737515,238
NXPCUSDT,2025-05-15 11:30:00,2025-05-15 06:31:00,2025-05-15 06:36:00,2.45001,2.940012,2.205009,2.940012,611.318939,299.547503,20.0,Target Hit,1497.737515,1797.285018,5
CVCUSDT,2025-05-16 13:30:00,2025-05-16 08:31:00,2025-05-16 12:29:00,0.132,0.1584,0.1188,0.1316,13615.79559,-5.446318,-0.30303,4h Timeout,1797.285018,1791.8387,238
AGTUSDT,2025-05-20 15:30:00,2025-05-20 10:31:00,2025-05-20 14:29:00,0.030619,0.036743,0.027557,0.032191,58520.484002,91.994201,5.134067,4h Timeout,1791.8387,1883.8329,238
AWEUSDT,2025-05-21 13:30:00,2025-05-21 08:01:00,2025-05-21 11:59:00,0.067063,0.080476,0.060357,0.068003,28090.495512,26.405066,1.401667,4h Timeout,1883.8329,1910.237966,238
BUSDT,2025-05-22 21:30:00,2025-05-22 16:31:00,2025-05-22 16:53:00,0.24311,0.291732,0.218799,0.291732,7857.504694,382.047593,20.0,Target Hit,1910.237966,2292.28556,22
