symbol,launch_date,entry_time,exit_time,entry_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
PENGUUSDT,2024-12-17 21:30:00,2024-12-17 16:16:00,2024-12-17 16:32:00,0.037464,0.035591,53384.582533,-100.0,-5.0,Stop Loss,2000.0,1900.0,16
LUMIAUSDT,2024-12-18 16:30:00,2024-12-18 11:31:00,2024-12-18 15:29:00,1.864,1.861,1019.313305,-3.05794,-0.160944,4h Timeout,1900.0,1896.94206,238
USUALUSDT,2024-12-18 18:30:00,2024-12-18 13:01:00,2024-12-18 15:10:00,0.8171,0.939665,2321.554351,284.541309,15.0,Target Hit,1896.94206,2181.483369,129
AIXBTUSDT,2024-12-20 23:30:00,2024-12-20 18:32:00,2024-12-20 19:22:00,0.27171,0.312466,8028.719477,327.222505,15.0,Target Hit,2181.483369,2508.705874,50
FARTCOINUSDT,2024-12-20 23:30:00,2024-12-20 18:46:00,2024-12-20 18:49:00,1.0858,1.03151,2310.467742,-125.435294,-5.0,Stop Loss,2508.705874,2383.270581,3
CGPTUSDT,2024-12-21 00:30:00,2024-12-20 19:16:00,2024-12-20 23:14:00,0.23128,0.24453,10304.698118,136.53725,5.728987,4h Timeout,2383.270581,2519.807831,238
KMNOUSDT,2024-12-21 00:30:00,2024-12-20 19:01:00,2024-12-20 22:59:00,0.19016,0.19288,13250.987751,36.042687,1.430374,4h Timeout,2519.807831,2555.850517,238
HIVEUSDT,2024-12-23 16:30:00,2024-12-23 11:31:00,2024-12-23 15:29:00,0.36564,0.35463,6990.073617,-76.960711,-3.011159,4h Timeout,2555.850517,2478.889807,238
DEXEUSDT,2024-12-24 16:30:00,2024-12-24 11:31:00,2024-12-24 15:29:00,13.021,12.973,190.3763,-9.138062,-0.368635,4h Timeout,2478.889807,2469.751745,238
DFUSDT,2024-12-30 16:30:00,2024-12-30 11:46:00,2024-12-30 11:58:00,0.09169,0.105443,26935.889896,370.462762,15.0,Target Hit,2469.751745,2840.214506,12
PHAUSDT,2024-12-30 16:30:00,2024-12-30 11:31:00,2024-12-30 15:29:00,0.44789,0.44184,6341.321544,-38.364995,-1.350778,4h Timeout,2840.214506,2801.849511,238
AI16ZUSDT,2025-01-02 18:30:00,2025-01-02 13:46:00,2025-01-02 14:09:00,2.0594,1.95643,1360.517389,-140.092476,-5.0,Stop Loss,2801.849511,2661.757035,23
GRIFFAINUSDT,2025-01-02 18:30:00,2025-01-02 13:31:00,2025-01-02 16:27:00,0.39354,0.373863,6763.625134,-133.087852,-5.0,Stop Loss,2661.757035,2528.669184,176
ZEREBROUSDT,2025-01-02 19:30:00,2025-01-02 14:01:00,2025-01-02 17:59:00,0.667,0.6423,3791.108221,-93.640373,-3.703148,4h Timeout,2528.669184,2435.028811,238
BIOUSDT,2025-01-03 17:30:00,2025-01-03 12:16:00,2025-01-03 12:55:00,0.7526,0.86549,3235.48872,365.254322,15.0,Target Hit,2435.028811,2800.283132,39
COOKIEUSDT,2025-01-07 16:30:00,2025-01-07 11:31:00,2025-01-07 15:29:00,0.639,0.6572,4382.289722,79.757673,2.8482,4h Timeout,2800.283132,2880.040805,238
ALCHUSDT,2025-01-07 16:30:00,2025-01-07 11:46:00,2025-01-07 15:44:00,0.19607,0.20094,14688.839726,71.534649,2.483807,4h Timeout,2880.040805,2951.575454,238
SWARMSUSDT,2025-01-07 17:30:00,2025-01-07 12:16:00,2025-01-07 12:31:00,0.5009,0.475855,5892.544329,-147.578773,-5.0,Stop Loss,2951.575454,2803.996682,15
SONICUSDT,2025-01-08 12:30:00,2025-01-08 07:02:00,2025-01-08 09:54:00,0.9642,0.91599,2908.106909,-140.199834,-5.0,Stop Loss,2803.996682,2663.796848,172
DUSDT,2025-01-09 15:30:00,2025-01-09 10:01:00,2025-01-09 10:31:00,0.18554,0.176263,14356.994975,-133.189842,-5.0,Stop Loss,2663.796848,2530.607005,30
PROMUSDT,2025-01-15 17:30:00,2025-01-15 12:31:00,2025-01-15 14:08:00,8.856,8.4132,285.750565,-126.53035,-5.0,Stop Loss,2530.607005,2404.076655,97
SUSDT,2025-01-16 15:30:00,2025-01-16 10:01:00,2025-01-16 13:59:00,0.7892,0.7912,3046.219786,6.09244,0.253421,4h Timeout,2404.076655,2410.169095,238
SOLVUSDT,2025-01-17 17:30:00,2025-01-17 12:16:00,2025-01-17 13:04:00,0.1482,0.14079,16262.949356,-120.508455,-5.0,Stop Loss,2410.169095,2289.66064,48
AVAAIUSDT,2025-01-17 18:30:00,2025-01-17 13:16:00,2025-01-17 14:13:00,0.22844,0.217018,10023.028541,-114.483032,-5.0,Stop Loss,2289.66064,2175.177608,57
ARCUSDT,2025-01-17 18:30:00,2025-01-17 13:01:00,2025-01-17 15:24:00,0.33894,0.321993,6417.588977,-108.75888,-5.0,Stop Loss,2175.177608,2066.418727,143
TRUMPUSDT,2025-01-18 18:30:00,2025-01-18 13:01:00,2025-01-18 13:04:00,20.858,19.8151,99.070799,-103.320936,-5.0,Stop Loss,2066.418727,1963.097791,3
MELANIAUSDT,2025-01-20 14:30:00,2025-01-20 09:31:00,2025-01-20 11:30:00,10.319,9.80305,190.241088,-98.15489,-5.0,Stop Loss,1963.097791,1864.942902,119
