symbol,launch_date,entry_time,exit_time,entry_price,target_price,stop_loss_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
MILKUSDT,2025-05-06 18:30:00,2025-05-06 13:46:00,2025-05-06 17:44:00,0.12477,0.149724,0.106054,0.12451,16029.494269,-4.167669,-0.208383,4h Timeout,2000.0,1995.832331,238
B2USDT,2025-05-06 18:30:00,2025-05-06 13:31:00,2025-05-06 17:29:00,0.6779,0.81348,0.576215,0.6484,2944.139743,-86.852122,-4.351674,4h Timeout,1995.832331,1908.980209,238
SYRUPUSDT,2025-05-07 13:30:00,2025-05-07 08:31:00,2025-05-07 12:29:00,0.23522,0.282264,0.199937,0.21167,8115.722341,-191.125261,-10.011904,4h Timeout,1908.980209,1717.854948,238
OBOLUSDT,2025-05-07 15:30:00,2025-05-07 10:31:00,2025-05-07 11:48:00,0.41434,0.497208,0.352189,0.352189,4146.003157,-257.678242,-15.0,Stop Loss,1717.854948,1460.176706,77
DOODUSDT,2025-05-09 18:30:00,2025-05-09 13:31:00,2025-05-09 14:50:00,0.008187,0.009824,0.006959,0.006959,178355.263379,-219.026506,-15.0,Stop Loss,1460.176706,1241.1502,79
OGUSDT,2025-05-12 14:30:00,2025-05-12 09:01:00,2025-05-12 12:59:00,5.584,6.7008,4.7464,5.606,222.269019,4.889918,0.393983,4h Timeout,1241.1502,1246.040118,238
ZKJUSDT,2025-05-13 14:30:00,2025-05-13 09:31:00,2025-05-13 13:29:00,2.136,2.5632,1.8156,2.13,583.352115,-3.500113,-0.280899,4h Timeout,1246.040118,1242.540006,238
SKYAIUSDT,2025-05-13 14:30:00,2025-05-13 09:46:00,2025-05-13 13:44:00,0.05771,0.069252,0.049054,0.06204,21530.757332,93.228179,7.503032,4h Timeout,1242.540006,1335.768185,238
NXPCUSDT,2025-05-15 11:30:00,2025-05-15 06:31:00,2025-05-15 06:36:00,2.45001,2.940012,2.082508,2.940012,545.209279,267.153637,20.0,Target Hit,1335.768185,1602.921822,5
CVCUSDT,2025-05-16 13:30:00,2025-05-16 08:31:00,2025-05-16 12:29:00,0.132,0.1584,0.1122,0.1316,12143.347135,-4.857339,-0.30303,4h Timeout,1602.921822,1598.064483,238
AGTUSDT,2025-05-20 15:30:00,2025-05-20 10:31:00,2025-05-20 14:29:00,0.030619,0.036743,0.026026,0.032191,52191.92276,82.045703,5.134067,4h Timeout,1598.064483,1680.110186,238
AWEUSDT,2025-05-21 13:30:00,2025-05-21 08:01:00,2025-05-21 11:59:00,0.067063,0.080476,0.057004,0.068003,25052.714396,23.549552,1.401667,4h Timeout,1680.110186,1703.659737,238
