symbol,launch_date,entry_time,exit_time,entry_price,target_price,stop_loss_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
BIOUSDC,2025-08-25 12:30:00,2025-08-25 07:16:00,2025-08-25 11:14:00,0.2385,0.2862,0.202725,0.23067,8385.744235,-65.660377,-3.283019,4h Timeout,2000.0,1934.339623,238
SOMIUSDT,2025-08-25 14:30:00,2025-08-25 09:31:00,2025-08-25 09:35:00,0.931,1.1172,0.79135,1.1172,2077.700991,386.867925,20.0,Target Hit,1934.339623,2321.207547,4
BASUSDT,2025-08-26 18:30:00,2025-08-26 13:31:00,2025-08-26 16:26:00,0.01394,0.016728,0.011849,0.016728,166514.171246,464.241509,20.0,Target Hit,2321.207547,2785.449057,175
BTRUSDT,2025-08-27 15:30:00,2025-08-27 10:31:00,2025-08-27 11:18:00,0.12656,0.151872,0.107576,0.107576,22008.921117,-417.817358,-15.0,Stop Loss,2785.449057,2367.631698,47
MITOUSDT,2025-08-28 21:30:00,2025-08-28 16:31:00,2025-08-28 16:45:00,0.10349,0.124188,0.087966,0.124188,22877.879004,473.52634,20.0,Target Hit,2367.631698,2841.158038,14
HEMIUSDT,2025-08-29 09:30:00,2025-08-29 04:31:00,2025-08-29 05:15:00,0.025778,0.030934,0.021911,0.021911,110216.38753,-426.173706,-15.0,Stop Loss,2841.158038,2414.984332,44
LINEAUSDT,2025-09-01 13:30:00,2025-09-01 08:31:00,2025-09-01 12:29:00,0.05025,0.0603,0.042712,0.04811,48059.389693,-102.847094,-4.258706,4h Timeout,2414.984332,2312.137238,238
QUSDT,2025-09-02 12:30:00,2025-09-02 07:31:00,2025-09-02 11:17:00,0.009561,0.011473,0.008127,0.011473,241830.063606,462.427448,20.0,Target Hit,2312.137238,2774.564686,226
ARIAUSDT,2025-09-03 16:30:00,2025-09-03 11:01:00,2025-09-03 11:10:00,0.11659,0.139908,0.099102,0.139908,23797.621458,554.912937,20.0,Target Hit,2774.564686,3329.477623,9
TAKEUSDT,2025-09-03 16:30:00,2025-09-03 11:16:00,2025-09-03 13:56:00,0.1392,0.16704,0.11832,0.16704,23918.661084,665.895525,20.0,Target Hit,3329.477623,3995.373147,160
PTBUSDT,2025-09-03 17:30:00,2025-09-03 12:31:00,2025-09-03 13:37:00,0.02563,0.030756,0.021786,0.030756,155886.583983,799.074629,20.0,Target Hit,3995.373147,4794.447777,66
WLFIUSDC,2025-09-08 13:30:00,2025-09-08 08:31:00,2025-09-08 12:29:00,0.2065,0.2478,0.175525,0.2144,23217.66478,183.419552,3.825666,4h Timeout,4794.447777,4977.867329,238
OPENUSDT,2025-09-08 18:30:00,2025-09-08 13:01:00,2025-09-08 13:02:00,0.678,0.8136,0.5763,0.8136,7341.987211,995.573466,20.0,Target Hit,4977.867329,5973.440795,1
FLOCKUSDT,2025-09-09 11:30:00,2025-09-09 06:49:00,2025-09-09 10:40:00,0.4749,0.56988,0.403665,0.403665,12578.312896,-896.016119,-15.0,Stop Loss,5973.440795,5077.424675,231
SKYUSDT,2025-09-09 12:30:00,2025-09-09 07:01:00,2025-09-09 10:59:00,0.07199,0.086388,0.061191,0.0742,70529.582933,155.870378,3.069871,4h Timeout,5077.424675,5233.295054,238
AVNTUSDT,2025-09-09 20:30:00,2025-09-09 15:01:00,2025-09-09 15:01:00,0.2766,0.33192,0.23511,0.23511,18920.083346,-784.994258,-15.0,Stop Loss (Same Candle),5233.295054,4448.300796,0
HOLOUSDT,2025-09-11 17:30:00,2025-09-11 12:01:00,2025-09-11 12:19:00,0.5738,0.68856,0.48773,0.48773,7752.354123,-667.245119,-15.0,Stop Loss,4448.300796,3781.055676,18
XPINUSDT,2025-09-12 13:30:00,2025-09-12 08:01:00,2025-09-12 08:07:00,0.001867,0.00224,0.001587,0.00224,2025637.885048,756.211135,20.0,Target Hit,3781.055676,4537.266811,6
UBUSDT,2025-09-12 15:30:00,2025-09-12 10:31:00,2025-09-12 10:45:00,0.01864,0.022368,0.015844,0.022368,243415.601474,907.453362,20.0,Target Hit,4537.266811,5444.720174,14
ZKCUSDT,2025-09-15 19:30:00,2025-09-15 14:01:00,2025-09-15 15:41:00,1.2819,1.53828,1.089615,1.089615,4247.382927,-816.708026,-15.0,Stop Loss,5444.720174,4628.012148,100
