symbol,launch_date,entry_time,exit_time,entry_price,target_price,stop_loss_price,exit_price,position_size,profit_usd,profit_pct,exit_reason,capital_before,capital_after,duration_minutes
PENGUUSDT,2024-12-17 21:30:00,2024-12-17 16:16:00,2024-12-17 16:17:00,0.037464,0.044957,0.036715,0.036715,53384.582533,-40.0,-2.0,Stop Loss,2000.0,1960.0,1
LUMIAUSDT,2024-12-18 16:30:00,2024-12-18 11:31:00,2024-12-18 11:38:00,1.864,2.2368,1.82672,1.82672,1051.502146,-39.2,-2.0,Stop Loss,1960.0,1920.8,7
USUALUSDT,2024-12-18 18:30:00,2024-12-18 13:01:00,2024-12-18 13:02:00,0.8171,0.98052,0.800758,0.800758,2350.752662,-38.416,-2.0,Stop Loss,1920.8,1882.384,1
AIXBTUSDT,2024-12-20 23:30:00,2024-12-20 18:32:00,2024-12-20 19:39:00,0.27171,0.326052,0.266276,0.326052,6927.915793,376.4768,20.0,Target Hit,1882.384,2258.8608,67
FARTCOINUSDT,2024-12-20 23:30:00,2024-12-20 18:46:00,2024-12-20 18:48:00,1.0858,1.30296,1.064084,1.064084,2080.365445,-45.177216,-2.0,Stop Loss,2258.8608,2213.683584,2
CGPTUSDT,2024-12-21 00:30:00,2024-12-20 19:16:00,2024-12-20 19:53:00,0.23128,0.277536,0.226654,0.226654,9571.444068,-44.273672,-2.0,Stop Loss,2213.683584,2169.409912,37
KMNOUSDT,2024-12-21 00:30:00,2024-12-20 19:01:00,2024-12-20 21:14:00,0.19016,0.228192,0.186357,0.186357,11408.339884,-43.388198,-2.0,Stop Loss,2169.409912,2126.021714,133
HIVEUSDT,2024-12-23 16:30:00,2024-12-23 11:31:00,2024-12-23 11:34:00,0.36564,0.438768,0.358327,0.358327,5814.521699,-42.520434,-2.0,Stop Loss,2126.021714,2083.50128,3
DEXEUSDT,2024-12-24 16:30:00,2024-12-24 11:31:00,2024-12-24 12:01:00,13.021,15.6252,12.76058,12.76058,160.01085,-41.670026,-2.0,Stop Loss,2083.50128,2041.831254,30
DFUSDT,2024-12-30 16:30:00,2024-12-30 11:46:00,2024-12-30 13:58:00,0.09169,0.110028,0.089856,0.089856,22268.854337,-40.836625,-2.0,Stop Loss,2041.831254,2000.994629,132
PHAUSDT,2024-12-30 16:30:00,2024-12-30 11:31:00,2024-12-30 11:44:00,0.44789,0.537468,0.438932,0.438932,4467.602825,-40.019893,-2.0,Stop Loss,2000.994629,1960.974737,13
AI16ZUSDT,2025-01-02 18:30:00,2025-01-02 13:46:00,2025-01-02 14:03:00,2.0594,2.47128,2.018212,2.018212,952.206826,-39.219495,-2.0,Stop Loss,1960.974737,1921.755242,17
GRIFFAINUSDT,2025-01-02 18:30:00,2025-01-02 13:31:00,2025-01-02 16:27:00,0.39354,0.472248,0.385669,0.385669,4883.252635,-38.435105,-2.0,Stop Loss,1921.755242,1883.320137,176
ZEREBROUSDT,2025-01-02 19:30:00,2025-01-02 14:01:00,2025-01-02 16:22:00,0.667,0.8004,0.65366,0.65366,2823.568421,-37.666403,-2.0,Stop Loss,1883.320137,1845.653734,141
BIOUSDT,2025-01-03 17:30:00,2025-01-03 12:16:00,2025-01-03 12:59:00,0.7526,0.90312,0.737548,0.90312,2452.370096,369.130747,20.0,Target Hit,1845.653734,2214.784481,43
COOKIEUSDT,2025-01-07 16:30:00,2025-01-07 11:31:00,2025-01-07 15:29:00,0.639,0.7668,0.62622,0.6572,3466.016402,63.081499,2.8482,4h Timeout,2214.784481,2277.86598,238
ALCHUSDT,2025-01-07 16:30:00,2025-01-07 11:46:00,2025-01-07 13:10:00,0.19607,0.235284,0.192149,0.192149,11617.616053,-45.55732,-2.0,Stop Loss,2277.86598,2232.30866,84
SWARMSUSDT,2025-01-07 17:30:00,2025-01-07 12:16:00,2025-01-07 12:26:00,0.5009,0.60108,0.490882,0.490882,4456.595448,-44.646173,-2.0,Stop Loss,2232.30866,2187.662487,10
SONICUSDT,2025-01-08 12:30:00,2025-01-08 07:02:00,2025-01-08 09:34:00,0.9642,1.15704,0.944916,0.944916,2268.888702,-43.75325,-2.0,Stop Loss,2187.662487,2143.909237,152
DUSDT,2025-01-09 15:30:00,2025-01-09 10:01:00,2025-01-09 10:25:00,0.18554,0.222648,0.181829,0.181829,11554.970557,-42.878185,-2.0,Stop Loss,2143.909237,2101.031052,24
PROMUSDT,2025-01-15 17:30:00,2025-01-15 12:31:00,2025-01-15 12:31:00,8.856,10.6272,8.67888,8.67888,237.243795,-42.020621,-2.0,Stop Loss (Same Candle),2101.031052,2059.010431,0
SUSDT,2025-01-16 15:30:00,2025-01-16 10:01:00,2025-01-16 13:59:00,0.7892,0.94704,0.773416,0.7912,2608.984328,5.217969,0.253421,4h Timeout,2059.010431,2064.2284,238
