symbol,launch_date,year,month
IDOLUSDT,2025-07-04 14:30:00,2025,2025-07
MUSDT,2025-07-07 14:30:00,2025,2025-07
TANSSIUSDT,2025-07-09 16:30:00,2025,2025-07
PUMPUSDT,2025-07-10 12:30:00,2025,2025-07
CROSSUSDT,2025-07-10 15:30:00,2025,2025-07
AINUSDT,2025-07-10 15:30:00,2025,2025-07
VELVETUSDT,2025-07-15 14:30:00,2025,2025-07
CUSDT,2025-07-15 14:30:00,2025,2025-07
TACUSDT,2025-07-15 15:30:00,2025,2025-07
ERAUSDT,2025-07-17 20:30:00,2025,2025-07
TAUSDT,2025-07-21 12:30:00,2025,2025-07
PENGUUSDC,2025-07-23 12:30:00,2025,2025-07
CVXUSDT,2025-07-23 16:30:00,2025,2025-07
SLPUSDT,2025-07-23 16:30:00,2025,2025-07
ZORAUSDT,2025-07-25 16:30:00,2025,2025-07
TAGUSDT,2025-07-25 16:30:00,2025,2025-07
ZRCUSDT,2025-07-29 14:30:00,2025,2025-07
ESPORTSUSDT,2025-07-29 15:30:00,2025,2025-07
TREEUSDT,2025-07-29 19:30:00,2025,2025-07
A2ZUSDT,2025-07-30 13:30:00,2025,2025-07
PLAYUSDT,2025-07-31 14:30:00,2025,2025-07
NAORISUSDT,2025-07-31 17:30:00,2025,2025-07
TOWNSUSDT,2025-08-05 19:30:00,2025,2025-08
PROVEUSDT,2025-08-05 22:30:00,2025,2025-08
ALLUSDT,2025-08-06 14:30:00,2025,2025-08
INUSDT,2025-08-07 15:30:00,2025,2025-08
YALAUSDT,2025-08-07 21:30:00,2025,2025-08
CARVUSDT,2025-08-07 21:30:00,2025,2025-08
AIOUSDT,2025-08-13 16:30:00,2025,2025-08
XNYUSDT,2025-08-13 16:30:00,2025,2025-08
USELESSUSDT,2025-08-15 17:30:00,2025,2025-08
DAMUSDT,2025-08-18 17:30:00,2025,2025-08
CUDISUSDT,2025-08-20 16:30:00,2025,2025-08
SAPIENUSDT,2025-08-20 22:30:00,2025,2025-08
XPLUSDT,2025-08-22 14:30:00,2025,2025-08
WLFIUSDT,2025-08-23 13:30:00,2025,2025-08
BIOUSDC,2025-08-25 12:30:00,2025,2025-08
SOMIUSDT,2025-08-25 14:30:00,2025,2025-08
BASUSDT,2025-08-26 18:30:00,2025,2025-08
BTRUSDT,2025-08-27 15:30:00,2025,2025-08
MITOUSDT,2025-08-28 21:30:00,2025,2025-08
HEMIUSDT,2025-08-29 09:30:00,2025,2025-08
LINEAUSDT,2025-09-01 13:30:00,2025,2025-09
QUSDT,2025-09-02 12:30:00,2025,2025-09
ARIAUSDT,2025-09-03 16:30:00,2025,2025-09
TAKEUSDT,2025-09-03 16:30:00,2025,2025-09
PTBUSDT,2025-09-03 17:30:00,2025,2025-09
WLFIUSDC,2025-09-08 13:30:00,2025,2025-09
OPENUSDT,2025-09-08 18:30:00,2025,2025-09
FLOCKUSDT,2025-09-09 11:30:00,2025,2025-09
SKYUSDT,2025-09-09 12:30:00,2025,2025-09
AVNTUSDT,2025-09-09 20:30:00,2025,2025-09
HOLOUSDT,2025-09-11 17:30:00,2025,2025-09
XPINUSDT,2025-09-12 13:30:00,2025,2025-09
UBUSDT,2025-09-12 15:30:00,2025,2025-09
ZKCUSDT,2025-09-15 19:30:00,2025,2025-09
TOSHIUSDT,2025-09-17 10:30:00,2025,2025-09
STBLUSDT,2025-09-17 10:30:00,2025,2025-09
