target_pct,stop_loss_pct,total_profit_usd,profit_percentage,success_rate,profitable_coins,target_hits,stop_losses
40,12,7377.2676433941815,1.844316910848545,8.5,17,17,91
30,12,7113.524132345046,1.7783810330862615,15.0,30,30,90
40,15,6920.546901744499,1.7301367254361248,9.5,19,19,76
35,12,6547.562810227391,1.636890702556848,10.0,20,20,91
30,10,6402.6102860292885,1.600652571507322,13.5,27,27,100
15,12,6397.817451481475,1.5994543628703686,40.0,80,80,77
30,15,6316.803390695364,1.5792008476738408,16.0,32,32,75
25,12,6221.81410107977,1.5554535252699426,20.0,40,40,88
40,10,6106.353797078482,1.5265884492696205,7.000000000000001,14,14,101
15,15,6001.285629618622,1.5003214074046554,42.5,85,85,64
35,15,5890.842068577709,1.4727105171444272,11.0,22,22,76
20,12,5837.2915121495025,1.4593228780373757,27.0,54,54,84
35,10,5576.648963911692,1.3941622409779229,8.5,17,17,101
15,10,5405.7998864669935,1.3514499716167483,36.5,73,73,88
10,3,5244.691996571142,1.3111729991427856,31.0,62,62,126
20,15,5243.875551086501,1.3109688877716252,28.999999999999996,58,58,70
25,15,5151.667482939607,1.2879168707349018,21.0,42,42,74
25,10,5030.900254764012,1.257725063691003,18.0,36,36,99
40,20,4836.289659218513,1.2090724148046283,10.0,20,20,60
20,10,4616.561944628018,1.1541404861570044,24.0,48,48,95
40,25,4481.659597960534,1.1204148994901333,10.5,21,21,44
30,20,4132.54614816932,1.03313653704233,16.5,33,33,59
15,25,3915.2851745742955,0.9788212936435738,45.0,90,90,37
5,3,3877.873740989191,0.9694684352472979,48.5,97,97,96
40,7,3758.6799082841026,0.9396699770710256,5.0,10,10,124
20,25,3744.5666684051976,0.9361416671012994,31.0,62,62,39
35,20,3706.584826051723,0.9266462065129308,11.5,23,23,60
30,25,3677.9160869113985,0.9194790217278497,17.0,34,34,43
35,7,3628.9750751173124,0.9072437687793281,6.5,13,13,124
15,3,3542.0541707422817,0.8855135426855704,18.5,37,37,147
15,20,3510.5077702158596,0.8776269425539649,43.5,87,87,52
10,10,3450.5972586492426,0.8626493146623107,47.5,95,95,77
20,20,3411.9051401856123,0.8529762850464031,30.0,60,60,55
30,7,3403.4010125655914,0.8508502531413978,10.0,20,20,124
10,12,3302.6148236636654,0.8256537059159164,50.0,100,100,68
35,25,3251.9547647938016,0.8129886911984505,12.0,24,24,44
15,7,3023.957821805554,0.7559894554513885,28.999999999999996,58,58,111
25,20,2967.410240413563,0.7418525601033907,21.5,43,43,58
20,7,2571.645693473285,0.6429114233683213,19.0,38,38,119
25,7,2537.678873430239,0.6344197183575597,14.000000000000002,28,28,123
25,25,2512.780179155583,0.6281950447888958,22.0,44,44,42
10,15,2511.8427915723296,0.6279606978930824,53.0,106,106,57
10,5,2235.4267383235274,0.5588566845808819,33.5,67,67,114
15,5,2192.788912494667,0.5481972281236668,23.5,47,47,130
10,7,2053.799521714158,0.5134498804285395,39.0,78,78,98
5,7,1834.5330613261322,0.458633265331533,59.5,119,119,69
5,5,1767.4922223934554,0.4418730555983639,52.5,105,105,85
5,10,1471.3307982611586,0.36783269956528963,65.0,130,130,54
10,25,1394.5025132794399,0.34862562831985994,56.99999999999999,114,114,33
20,3,1333.2432421445264,0.3333108105361316,10.0,20,20,158
5,12,1205.577132884122,0.3013942832210305,67.5,135,135,47
40,3,1165.01083318569,0.2912527082964225,3.5000000000000004,7,7,163
35,3,1090.8559804048855,0.2727139951012214,4.0,8,8,163
25,3,918.5500767171616,0.22963751917929037,6.5,13,13,161
35,5,852.2389954592218,0.21305974886480544,5.5,11,11,146
5,15,836.3857185941888,0.2090964296485472,70.5,141,141,40
40,5,781.943828626012,0.195485957156503,4.0,8,8,146
20,5,555.5815374677186,0.13889538436692964,14.499999999999998,29,29,140
10,20,396.2529291365645,0.09906323228414111,54.50000000000001,109,109,46
30,3,302.21751988027245,0.07555437997006811,4.5,9,9,163
30,5,-171.20361029892229,-0.04280090257473057,7.5,15,15,146
25,5,-691.8438850415987,-0.17296097126039967,9.5,19,19,145
5,20,-1265.1454448903678,-0.31628636122259196,71.5,143,143,33
5,25,-1652.6179739916697,-0.4131544934979174,72.5,145,145,25
