symbol,launch_date,first_price,last_price_4h,performance_15m,performance_30m,performance_60m,performance_120m,performance_180m,performance_4h,max_gain_4h,max_loss_4h,high_4h,low_4h,total_volume_4h,candles_count
SKATEUSDT,2025-06-09 15:30:00,0.0756,0.06107,-5.542328042328042,-12.513227513227509,-10.105820105820097,-15.343915343915343,-17.53968253968254,-19.219576719576718,3.7037037037036993,-20.68783068783069,0.0784,0.05996,976488156.0,240
ZKJUSDT,2025-05-13 14:30:00,2.11,2.13,0.75829383886256,0.56872037914692,0.9004739336492953,0.9004739336492953,0.42654028436020575,0.9478672985782,6.54028436018959,-0.18957345971564,2.248,2.106,1699661.2999999998,240
SAHARAUSDT,2025-06-26 17:30:00,0.09051,0.09271,45.15523146613635,46.09435421500386,29.422163296873276,4.6072257209148235,-1.4915478952601815,2.4306706441277295,63.73881339078555,-4.817147276544016,0.1482,0.08615,10060524728.0,240
HUMAUSDT,2025-05-26 18:30:00,0.08413,0.071657,-10.536075121835252,-14.18043504100796,-13.286580292404604,-18.83751337216213,-14.78545108760251,-14.825864733151073,18.74479971472722,-24.069891834066315,0.0999,0.06388,4607405021.0,240
PENGUUSDC,2025-07-23 12:30:00,0.044859,0.044703,-0.8002853385051051,-0.7646180253683832,-2.378563944804845,-3.6358367328741177,-3.6492119753003998,-0.3477563030830009,6.569473238369107,-4.913172384582814,0.047806,0.042655,51913890.0,240
LAUSDT,2025-06-05 14:30:00,1.039,1.462,7.60346487006739,9.047160731472578,9.239653512993272,25.31280076997114,32.72377285851781,40.71222329162657,42.15591915303178,-4.908565928777665,1.477,0.988,209253170.3,240
ETHUSDT_250926,2025-03-28 13:30:00,1998.0,1941.91,-1.970470470470465,-2.3063063063063027,-2.3358358358358395,-2.1961961961962015,-2.186686686686689,-2.807307307307303,0.10010010010010009,-4.376376376376379,2000.0,1910.56,1196.147,240
AIXBTUSDT,2024-12-20 23:30:00,0.2585,0.31823,8.564796905222433,12.731141199226304,20.74274661508704,14.444874274661501,10.274661508704051,23.106382978723406,27.43133462282397,0.0,0.32941,0.2585,89748980.0,240
SOMIUSDT,2025-08-25 14:30:00,0.9,1.511,32.111111111111114,63.66666666666667,57.999999999999986,57.999999999999986,73.77777777777777,67.88888888888887,87.1111111111111,-16.888888888888893,1.684,0.748,32036956.0,240
USUALUSDT,2024-12-18 18:30:00,0.7784,1.0816,8.607399794450162,7.887975334018502,5.241521068859206,17.35611510791367,34.519527235354566,38.95169578622815,42.163412127440914,0.0,1.1066,0.7784,466136574.0,240
HEMIUSDT,2025-08-29 09:30:00,0.022,0.025328,25.60454545454547,21.46363636363637,-1.3954545454545375,3.636363636363646,-1.2727272727272683,15.127272727272734,30.909090909090914,-7.268181818181817,0.0288,0.020401,3359338775.0,240
BUSDT,2025-05-22 21:30:00,0.24,0.2507,12.066666666666661,22.65416666666668,11.770833333333334,9.39583333333334,4.045833333333332,4.458333333333328,23.916666666666668,-3.4166666666666607,0.2974,0.2318,221525498.0,240
