timestamp,open,high,low,close,volume,symbol,launch_date,minutes_from_launch
2025-03-13 08:00:00,1.6773,1.7105,1.5916,1.6859,10214.2,EPICUSDT,2025-03-13 13:30:00,0
2025-03-13 08:01:00,1.6697,1.7,1.6,1.6306,114152.4,EPICUSDT,2025-03-13 13:30:00,1
2025-03-13 08:02:00,1.6351,1.7,1.6228,1.6778,147690.7,EPICUSDT,2025-03-13 13:30:00,2
2025-03-13 08:03:00,1.6778,1.82,1.6778,1.7653,288165.9,EPICUSDT,2025-03-13 13:30:00,3
2025-03-13 08:04:00,1.7647,1.7973,1.7301,1.7495,125330.6,EPICUSDT,2025-03-13 13:30:00,4
2025-03-13 08:05:00,1.7485,1.7516,1.6985,1.719,225262.9,EPICUSDT,2025-03-13 13:30:00,5
2025-03-13 08:06:00,1.7183,1.755,1.7016,1.7498,152707.5,EPICUSDT,2025-03-13 13:30:00,6
2025-03-13 08:07:00,1.7483,1.77,1.7045,1.7658,148955.8,EPICUSDT,2025-03-13 13:30:00,7
2025-03-13 08:08:00,1.7658,1.7973,1.7361,1.7405,154354.3,EPICUSDT,2025-03-13 13:30:00,8
2025-03-13 08:09:00,1.7405,1.7684,1.7193,1.7365,75630.9,EPICUSDT,2025-03-13 13:30:00,9
2025-03-13 08:10:00,1.7353,1.7631,1.7302,1.7443,64254.7,EPICUSDT,2025-03-13 13:30:00,10
2025-03-13 08:11:00,1.7443,1.7588,1.7352,1.7518,59426.0,EPICUSDT,2025-03-13 13:30:00,11
2025-03-13 08:12:00,1.7518,1.755,1.6846,1.6885,286946.3,EPICUSDT,2025-03-13 13:30:00,12
2025-03-13 08:13:00,1.6883,1.6904,1.6352,1.6422,303692.6,EPICUSDT,2025-03-13 13:30:00,13
2025-03-13 08:14:00,1.6422,1.6439,1.572,1.5801,453599.9,EPICUSDT,2025-03-13 13:30:00,14
2025-03-13 08:15:00,1.5801,1.633,1.5614,1.6068,316106.8,EPICUSDT,2025-03-13 13:30:00,15
2025-03-13 08:16:00,1.6053,1.6087,1.53,1.5394,424176.5,EPICUSDT,2025-03-13 13:30:00,16
2025-03-13 08:17:00,1.5395,1.5649,1.5228,1.5483,289888.0,EPICUSDT,2025-03-13 13:30:00,17
2025-03-13 08:18:00,1.548,1.551,1.4651,1.4725,699348.6,EPICUSDT,2025-03-13 13:30:00,18
2025-03-13 08:19:00,1.4725,1.4912,1.4354,1.4559,620217.0,EPICUSDT,2025-03-13 13:30:00,19
2025-03-13 08:20:00,1.4545,1.505,1.4462,1.471,373673.0,EPICUSDT,2025-03-13 13:30:00,20
2025-03-13 08:21:00,1.471,1.4719,1.436,1.4597,488861.1,EPICUSDT,2025-03-13 13:30:00,21
2025-03-13 08:22:00,1.4601,1.49,1.4443,1.4875,288542.6,EPICUSDT,2025-03-13 13:30:00,22
2025-03-13 08:23:00,1.4879,1.53,1.453,1.5254,522943.9,EPICUSDT,2025-03-13 13:30:00,23
2025-03-13 08:24:00,1.5244,1.5264,1.476,1.4897,192094.2,EPICUSDT,2025-03-13 13:30:00,24
2025-03-13 08:25:00,1.4897,1.5114,1.4511,1.5105,278253.0,EPICUSDT,2025-03-13 13:30:00,25
2025-03-13 08:26:00,1.5104,1.531,1.4903,1.5179,195720.1,EPICUSDT,2025-03-13 13:30:00,26
