timestamp,open,high,low,close,volume,symbol,launch_date,minutes_from_launch
2025-04-16 06:30:00,0.728,0.728,0.5847,0.633,73857,INITUSDT,2025-04-16 11:30:00,0
2025-04-16 06:31:00,0.6328,0.6498,0.618,0.622,48514,INITUSDT,2025-04-16 11:30:00,1
2025-04-16 06:32:00,0.6218,0.6218,0.6101,0.6207,27284,INITUSDT,2025-04-16 11:30:00,2
2025-04-16 06:33:00,0.6207,0.6471,0.62,0.6449,59122,INITUSDT,2025-04-16 11:30:00,3
2025-04-16 06:34:00,0.6449,0.6449,0.6348,0.638,15883,INITUSDT,2025-04-16 11:30:00,4
2025-04-16 06:35:00,0.6379,0.647,0.6363,0.6449,29948,INITUSDT,2025-04-16 11:30:00,5
2025-04-16 06:36:00,0.6449,0.6564,0.6415,0.6522,45716,INITUSDT,2025-04-16 11:30:00,6
2025-04-16 06:37:00,0.6518,0.6548,0.6463,0.6487,26045,INITUSDT,2025-04-16 11:30:00,7
2025-04-16 06:38:00,0.6487,0.6525,0.6442,0.6456,20804,INITUSDT,2025-04-16 11:30:00,8
2025-04-16 06:39:00,0.6461,0.6654,0.6442,0.6564,33810,INITUSDT,2025-04-16 11:30:00,9
2025-04-16 06:40:00,0.6561,0.665,0.65,0.6586,25212,INITUSDT,2025-04-16 11:30:00,10
2025-04-16 06:41:00,0.6574,0.6727,0.6562,0.6643,52030,INITUSDT,2025-04-16 11:30:00,11
2025-04-16 06:42:00,0.6643,0.675,0.6643,0.6667,37628,INITUSDT,2025-04-16 11:30:00,12
2025-04-16 06:43:00,0.6667,0.68,0.6654,0.67,25049,INITUSDT,2025-04-16 11:30:00,13
2025-04-16 06:44:00,0.6701,0.6701,0.6422,0.6525,60814,INITUSDT,2025-04-16 11:30:00,14
2025-04-16 06:45:00,0.6564,0.67,0.6528,0.6565,23487,INITUSDT,2025-04-16 11:30:00,15
2025-04-16 06:46:00,0.6564,0.67,0.6551,0.6671,9210,INITUSDT,2025-04-16 11:30:00,16
2025-04-16 06:47:00,0.6637,0.6887,0.6554,0.6705,77753,INITUSDT,2025-04-16 11:30:00,17
2025-04-16 06:48:00,0.6705,0.6737,0.6666,0.6706,9370,INITUSDT,2025-04-16 11:30:00,18
2025-04-16 06:49:00,0.6688,0.67,0.66,0.6654,11914,INITUSDT,2025-04-16 11:30:00,19
